energy (keV),Effective Area (cm^2)
2.16,151.76810885732
2.17,151.326506511478
2.18,150.880697260034
2.19,150.430362333963
2.2,149.951788274952
2.21,149.449350073323
2.22,148.939806169578
2.23,148.421948567318
2.24,147.865420612294
2.25,147.299287330978
2.26,146.722883729015
2.27,146.123652942858
2.28,145.495663313361
2.29,144.854558567296
2.3,144.199433766025
2.31,143.511519413611
2.32,142.801615615577
2.33,142.0745277449
2.34,141.328502397775
2.35,140.542521203481
2.36,139.735907398955
2.37,138.907267846485
2.38,138.052483480424
2.39,137.165069004691
2.4,136.251954632703
2.41,135.311411101941
2.42,134.339146547018
2.43,133.333081525006
2.44,132.295405813589
2.45,131.224021613894
2.46,130.118951292477
2.47,128.979851224516
2.48,127.802692596394
2.49,126.585046627083
2.5,125.32757929176
2.51,124.029813834461
2.52,122.686955153339
2.53,121.296380069079
2.54,119.868767129428
2.55,118.405680942243
2.56,116.891449557735
2.57,115.323653552833
2.58,113.711247389043
2.59,112.06240016847
2.6,110.358601341474
2.61,108.59833785477
2.62,106.79006562058
2.63,104.961712576349
2.64,103.079969849247
2.65,101.144994144474
2.66,99.1573940331948
2.67,97.1785802076532
2.68,95.1559000554595
2.69,93.0900702008975
2.7,90.9831545148809
2.71,88.881736315141
2.72,86.7682332931827
2.73,84.6247306926015
2.74,82.4536263622564
2.75,80.2797676392925
2.76,78.1358230019934
2.77,75.974366242703
2.78,73.7976418224779
2.79,71.6078932777707
2.8,69.4772261717096
2.81,67.3505603025988
2.82,65.2188653153747
2.83,63.0839728095835
2.84,60.9741756053243
2.85,58.9149018800078
2.86,56.8586215667679
2.87,54.8069816630775
2.88,52.76168912745
2.89,50.7837491614549
2.9,48.8344264395227
2.91,46.8967650644091
2.92,44.9724090132983
2.93,43.0706300927077
2.94,41.254464755875
2.95,39.4558864441594
2.96,37.6764989913273
2.97,35.9180341836683
2.98,34.2071829544263
2.99,32.5639893982864
3,30.946370838641
3.01,29.3563807161977
3.02,27.796149091945
3.03,26.30218563228
3.04,24.868997550332
3.05,23.4696876290556
3.06,22.1062873668412
3.07,20.7809330858117
3.08,19.5321949645622
3.09,18.3424987866396
3.1,17.1943893605233
3.11,16.0900422736687
3.12,15.031559796962
3.13,14.049469668418
3.14,13.126663498623
3.15,12.2503406238783
