wave_A  modfactor_lo  modfactor_hi
37.984000  0.94399200  0.92660480
38.016000  0.94400800  0.92659520
38.048000  0.94402400  0.92658560
38.080000  0.94404000  0.92657600
38.112000  0.94405600  0.92656640
38.144000  0.94407200  0.92655680
38.176000  0.94408800  0.92654720
38.208000  0.94410400  0.92653760
38.240000  0.94412000  0.92652800
38.272000  0.94413600  0.92651840
38.304000  0.94415200  0.92650880
38.336000  0.94416800  0.92649920
38.368000  0.94418400  0.92648960
38.400000  0.94420000  0.92648000
38.432000  0.94421600  0.92647040
38.464000  0.94423200  0.92646080
38.496000  0.94424800  0.92645120
38.528000  0.94426400  0.92644160
38.560000  0.94428000  0.92643200
38.592000  0.94429600  0.92642240
38.624000  0.94431200  0.92641280
38.656000  0.94432800  0.92640320
38.688000  0.94434400  0.92639360
38.720000  0.94436000  0.92638400
38.752000  0.94437600  0.92637440
38.784000  0.94439200  0.92636480
38.816000  0.94440800  0.92635520
38.848000  0.94442400  0.92634560
38.880000  0.94444000  0.92633600
38.912000  0.94445600  0.92632640
38.944000  0.94447200  0.92631680
38.976000  0.94448800  0.92630720
39.008000  0.94450400  0.92629760
39.040000  0.94452000  0.92628800
39.072000  0.94453600  0.92627840
39.104000  0.94455200  0.92626880
39.136000  0.94456800  0.92625920
39.168000  0.94458400  0.92624960
39.200000  0.94460000  0.92624000
39.232000  0.94461600  0.92623040
39.264000  0.94463200  0.92622080
39.296000  0.94464800  0.92621120
39.328000  0.94466400  0.92620160
39.360000  0.94468000  0.92619200
39.392000  0.94469600  0.92618240
39.424000  0.94471200  0.92617280
39.456000  0.94472800  0.92616320
39.488000  0.94474400  0.92615360
39.520000  0.94476000  0.92614400
39.552000  0.94477600  0.92613440
39.584000  0.94479200  0.92612480
39.616000  0.94480800  0.92611520
39.648000  0.94482400  0.92610560
39.680000  0.94484000  0.92609600
39.712000  0.94485600  0.92608640
39.744000  0.94487200  0.92607680
39.776000  0.94488800  0.92606720
39.808000  0.94490400  0.92605760
39.840000  0.94492000  0.92604800
39.872000  0.94493600  0.92603840
39.904000  0.94495200  0.92602880
39.936000  0.94496800  0.92601920
39.968000  0.94498400  0.92600960
40.000000  0.94500000  0.92600000
40.032000  0.94501600  0.92599040
40.064000  0.94503200  0.92598080
40.096000  0.94504800  0.92597120
40.128000  0.94506400  0.92596160
40.160000  0.94508000  0.92595200
40.192000  0.94509600  0.92594240
40.224000  0.94511200  0.92593280
